analysis,method,mae,rmse,n
primary_fixed,A_structure_only,0.3033484655954973,0.5860682079014722,85
primary_fixed,B_empirical_residual,0.2427114968435519,0.5223263315259199,85
primary_fixed,C_computation_core,0.2526797708683476,0.4217032674931534,85
primary_fixed,D_smd_water,0.2531149568445899,0.3954937760303025,85
primary_fixed,E_confsolv,0.2989909179660747,0.5615235421471564,85
primary_fixed,F_full_solvai,0.2022340672191099,0.3176448926368878,85
primary_fixed,G_narrow_reference,0.2117583455960164,0.3455950684229257,85
primary_fixed,H_narrow_smd_reference,0.2065202326123044,0.3247721634400191,85
global_family,A_structure_only,1.2619780647862846,1.679365064472215,85
global_family,F_full_solvai,0.4677933152583255,0.702175419251768,85
global_scaffold,A_structure_only,0.7281063199424205,1.0099363959973229,85
global_scaffold,F_full_solvai,0.3761935493360304,0.5074301057127314,85
global_butina_0_70,A_structure_only,0.34947328531746,0.6023165977067343,85
global_butina_0_70,F_full_solvai,0.2157005113160082,0.3314888972050374,85
global_nn_0.50,A_structure_only,0.3585356085148865,0.6215809236190689,85
global_nn_0.50,F_full_solvai,0.2186971786544249,0.3258022785285289,85
global_nn_0.60,A_structure_only,0.3439264103926754,0.6077478574579445,85
global_nn_0.60,F_full_solvai,0.2113965726138604,0.3273532800635895,85
global_nn_0.70,A_structure_only,0.3431553081154675,0.597512238083392,85
global_nn_0.70,F_full_solvai,0.2109972548760244,0.3321249069125521,85
global_nn_0.80,A_structure_only,0.3393628828976027,0.6027907467219461,85
global_nn_0.80,F_full_solvai,0.2095153442032369,0.3268354547670861,85
